area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg,industry_name,treatment_group,source_file,quarter_date,year_quarter,treatment_period,post_tariff,avg_monthly_employment,log_employment,log_wages,log_avg_weekly_wage,treated,treated_post
39151,5,313,75,0,2020,4,,4,7,9,8,156750,9482,28,1507,,1.83,0.07,0.09,0.08,0.15,0.09,0.02,1.91,,0,0.0,-4,-36.4,0,0.0,-1,-11.1,32245,25.9,-908,-8.7,-51,-64.6,516,52.1,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,8.0,2.0794415416798357,11.962407458495168,7.317876198626496,0,0
39153,5,313,75,0,2020,4,,3,83,83,83,1120785,15128,147,1039,,0.81,0.48,0.48,0.47,0.55,0.09,0.05,1.15,,0,0.0,-4,-4.6,-2,-2.4,-3,-3.5,-3961,-0.4,-12849,-45.9,-265,-64.3,33,3.3,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,83.0,4.418840607796598,13.929539890617733,6.946013991099227,0,0
40000,5,313,55,0,2020,4,,31,179,183,180,1803505,462244,6192,768,,1.09,0.17,0.17,0.17,0.16,0.22,0.42,0.95,,-2,-6.1,6,3.5,4,2.2,0,0.0,233504,14.9,32262,7.5,-415,-6.3,87,12.8,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,180.66666666666666,5.196653712771536,14.405242551708913,6.643789733147672,0,0
40109,5,313,75,0,2020,4,,7,68,68,68,644636,165296,2407,729,,0.96,0.22,0.22,0.22,0.17,0.27,0.56,0.79,,-1,-12.5,16,30.8,11,19.3,10,17.2,133925,26.2,-13743,-7.7,199,9.0,23,3.3,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,68.0,4.219507705176107,13.376441095392272,6.591673732008658,0,0
40143,5,313,75,0,2020,4,,7,35,37,36,315903,73121,1081,675,,1.21,0.15,0.16,0.15,0.12,0.16,0.32,0.78,,0,0.0,-19,-35.2,-13,-26.0,-13,-26.5,-105530,-25.0,-33025,-31.1,-244,-18.4,39,6.1,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,36.0,3.58351893845611,12.663190483421246,6.51471269087253,0,0
41000,5,313,55,0,2020,4,,10,90,93,91,919408,509891,7262,774,,0.24,0.07,0.07,0.07,0.06,0.08,0.08,0.77,,0,0.0,-20,-18.2,-11,-10.6,-13,-12.5,-152391,-14.2,-42119,-7.6,-2734,-27.4,-4,-0.5,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,91.33333333333333,4.5145158177199605,13.73148526364336,6.651571873589727,0,0
42000,5,313,55,0,2020,4,,101,2986,3000,2973,44273469,2524458,102489,1140,,1.11,0.79,0.78,0.78,0.87,0.65,0.82,1.11,,0,0.0,-483,-13.9,-453,-13.1,-428,-12.6,-2439896,-5.2,459398,22.2,-10102,-9.0,96,9.2,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,2986.3333333333335,8.001801603929469,17.605896161701583,7.038783541388542,0,0
42011,5,313,75,0,2020,4,,9,446,447,403,6777652,311974,7133,1207,,4.08,3.99,3.96,3.53,5.04,2.59,1.89,1.32,,0,0.0,-55,-11.0,-39,-8.0,-68,-14.4,-303708,-4.3,138552,79.9,-229,-3.1,86,7.7,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,432.0,6.068425588244111,15.729141287252126,7.095893221097532,0,0
42017,5,313,75,0,2020,4,,9,387,385,381,6220574,112891,4062,1245,,1.77,2.27,2.24,2.2,2.85,0.59,0.68,1.27,,0,0.0,-32,-7.6,-33,-7.9,-33,-8.0,-1226862,-16.5,-77920,-40.8,-5903,-59.2,-129,-9.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,384.3333333333333,5.951510231600949,15.643372743415751,7.126890808898808,0,0
42029,5,313,75,0,2020,4,,5,81,89,94,1400958,136443,5498,1225,,1.26,0.5,0.54,0.57,0.51,0.81,1.06,0.96,,1,25.0,14,20.9,23,34.8,28,42.4,88545,6.7,110953,435.3,4780,665.7,-297,-19.5,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,88.0,4.477336814478207,14.152666846283054,7.110696122978827,0,0
42069,5,313,75,0,2020,4,,4,228,224,239,2938772,125059,5742,981,,2.88,3.67,3.59,3.82,4.58,1.94,2.79,1.24,,0,0.0,-29,-11.3,-41,-15.5,-25,-9.5,-114385,-3.7,-72834,-36.8,-6857,-54.4,85,9.5,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,230.33333333333334,5.43952753509956,14.89350236498449,6.8885724595653635,0,0
42091,5,313,75,0,2020,4,,10,144,140,139,2457948,278674,9829,1341,,1.42,0.44,0.42,0.42,0.44,0.79,0.84,1.03,,1,11.1,-130,-47.4,-134,-48.9,-138,-49.8,-1838742,-42.8,141987,103.9,5647,135.0,139,11.6,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,141.0,4.948759890378168,14.714837413473434,7.201170883281678,0,0
42097,5,313,75,0,2020,4,,3,71,65,64,1054259,9960,507,1216,,6.43,3.96,3.69,3.62,6.02,0.47,0.8,1.6,,0,0.0,-83,-53.9,-91,-58.3,-91,-58.7,-819956,-43.7,-61144,-86.0,-5087,-90.9,286,30.8,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,66.66666666666667,4.199705077879927,13.868348708446923,7.103322062526113,0,0
42101,5,313,75,0,2020,4,,15,153,155,152,1919104,162592,5221,963,,1.73,0.35,0.35,0.35,0.27,0.45,0.45,0.78,,1,7.1,-44,-22.3,-35,-18.4,-30,-16.5,-295026,-13.3,75745,87.2,1525,41.3,65,7.2,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,153.33333333333334,5.032614200815031,14.46736896841452,6.870053411798126,0,0
42133,5,313,75,0,2020,4,,5,106,106,112,2696357,60637,1809,1920,,2.18,0.91,0.9,0.94,1.98,0.47,0.45,2.16,N,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,108.0,4.68213122712422,14.807412160645418,7.560080465021827,0,0
44007,5,313,75,0,2020,4,,30,1144,1173,1188,18988924,4133364,61499,1250,,6.13,6.17,6.3,6.42,7.6,9.32,6.86,1.21,,-2,-6.2,-74,-6.1,-32,-2.7,-46,-3.7,4177623,28.2,808567,24.3,-5757,-8.6,315,33.7,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1168.3333333333333,7.063333510800581,16.759366419782413,7.1308988302963465,0,0
44009,5,313,75,0,2020,4,,6,472,466,479,8944479,766738,17104,1457,,5.12,13.46,13.42,13.97,22.15,8.69,9.58,1.63,,-1,-14.3,-37,-7.3,-47,-9.2,-33,-6.4,524431,6.2,300182,64.3,7032,69.8,190,15.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,472.3333333333333,6.157684951022571,16.006547028399147,7.284134806195205,0,0
45000,5,313,55,0,2020,4,,200,12681,12840,12918,166737426,13620747,163974,1001,,5.36,9.04,9.06,9.01,10.96,5.86,9.18,1.21,,0,0.0,-1757,-12.2,-1592,-11.0,-1438,-10.0,-299057,-0.2,1513029,12.5,-68293,-29.4,109,12.2,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,12813.0,9.458215559509576,18.93193083361996,6.90875477931522,0,0
45003,5,313,75,0,2020,4,,6,791,796,790,10219901,1295337,21217,992,,7.44,19.74,19.7,19.27,21.6,23.93,64.44,1.1,,0,0.0,-28,-3.4,-67,-7.8,-62,-7.3,998975,10.8,418563,47.7,3230,18.0,152,18.1,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,792.3333333333334,6.674982178692084,16.13984745580446,6.899723107284872,0,0
45007,5,313,75,0,2020,4,,16,1543,1560,1576,22308847,1452800,10323,1100,,16.32,34.31,34.08,34.0,51.98,19.86,16.8,1.52,,-1,-5.9,-255,-14.2,-217,-12.2,-222,-12.3,669434,3.1,-161224,-10.0,-18534,-64.2,171,18.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1559.6666666666667,7.352227402198107,16.920493884212615,7.003065458786462,0,0
45019,5,313,75,0,2020,4,,6,3,4,4,108169,0,0,2269,,1.32,0.02,0.02,0.02,0.05,0.0,0.0,2.41,N,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,3.6666666666666665,1.2992829841302609,11.591450097874198,7.727094484779841,0,0
45021,5,313,75,0,2020,4,,12,1443,1420,1469,17022393,1153627,11282,907,,53.03,105.06,102.29,105.21,148.4,43.99,64.62,1.42,,0,0.0,-172,-10.7,-175,-11.0,-140,-8.7,-814735,-4.6,-368484,-24.2,-9902,-46.7,53,6.2,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1444.0,7.275172319452771,16.650040270521295,6.810142450115136,0,0
45025,5,313,75,0,2020,4,,6,496,505,494,5447555,441569,9700,841,,33.33,50.56,51.64,50.32,61.47,31.65,102.6,1.21,,-1,-14.3,-101,-16.9,-75,-12.9,-87,-15.0,-366784,-6.3,-11727,-2.6,-4121,-29.8,78,10.2,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,498.3333333333333,6.211269197156677,15.510677442124427,6.734591659972948,0,0
45037,5,313,75,0,2020,4,,3,372,378,386,5223636,366071,3594,1061,,32.6,104.39,106.43,108.79,163.49,70.69,147.88,1.53,,0,0.0,-35,-8.6,-33,-8.0,-25,-6.1,-3762,-0.1,94526,34.8,-813,-18.4,79,8.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,378.6666666666667,5.936656310612987,15.4687042691034,6.966967138613983,0,0
45045,5,313,75,0,2020,4,,22,1049,1057,1057,16001977,1073870,13570,1167,,5.33,5.7,5.68,5.6,7.54,3.03,4.65,1.33,,-2,-8.3,-63,-5.7,-48,-4.3,-59,-5.3,938258,6.2,34082,3.3,-2317,-14.6,124,11.9,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1054.3333333333333,6.960663934637539,16.588222835070837,7.062191632286556,0,0
45055,5,313,75,0,2020,4,,6,340,339,335,5228049,265230,1698,1190,,17.75,29.25,29.12,28.62,52.16,12.27,12.32,1.8,,0,0.0,-55,-13.9,-51,-13.1,-49,-12.8,-284129,-5.2,116188,78.0,-1652,-49.3,102,9.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,338.0,5.823045895483019,15.469548726291356,7.081708586105575,0,0
45057,5,313,75,0,2020,4,,4,454,449,477,4562323,1253979,3660,763,,9.68,25.91,25.29,26.43,22.8,45.11,20.35,0.88,,0,0.0,-33,-6.8,-40,-8.2,-15,-3.0,-228965,-4.8,774093,161.3,-636,-14.8,10,1.3,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,460.0,6.131226489483141,15.333342481599809,6.637258031284457,0,0
45059,5,313,75,0,2020,4,,4,426,424,426,6287544,249383,1540,1137,,17.31,30.86,30.04,29.38,46.63,11.29,5.91,1.55,,0,0.0,-17,-3.8,-18,-4.1,-24,-5.3,697091,12.5,20625,9.0,-2640,-63.2,171,17.7,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,425.3333333333333,6.052873175236625,15.654081091377574,7.036148493750536,0,0
45077,5,313,75,0,2020,4,,7,429,499,508,6636728,344284,5161,1067,,11.34,17.59,20.4,20.77,29.12,10.69,27.31,1.49,,0,0.0,-166,-27.9,-104,-17.2,-84,-14.2,44413,0.7,-320021,-48.2,-7101,-57.9,217,25.5,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,478.6666666666667,6.17100446094006,15.708129628916708,6.9726062513017535,0,0
45083,5,313,75,0,2020,4,,26,1651,1675,1695,21878354,1644119,23206,1006,,14.81,16.53,16.56,16.57,20.16,10.73,19.68,1.22,,-3,-10.3,-214,-11.5,-202,-10.8,-131,-7.2,150753,0.7,-183698,-10.1,-14541,-38.5,105,11.7,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1673.6666666666667,7.422772107366596,16.901008304169054,6.913737350659685,0,0
45087,5,313,75,0,2020,4,,4,380,384,352,4291499,425405,6812,887,,35.0,73.02,72.46,65.99,91.2,42.0,97.05,1.29,,-1,-20.0,-148,-28.0,-150,-28.1,-177,-33.5,-1348371,-23.9,-103405,-19.6,-5467,-44.5,69,8.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,372.0,5.918893854273146,15.272146647121627,6.787844982309579,0,0
45091,5,313,75,0,2020,4,,17,548,535,532,7994441,729640,7743,1142,,9.64,8.12,7.78,7.64,10.81,6.1,8.61,1.38,,1,6.2,-32,-5.5,-48,-8.2,-54,-9.2,123750,1.6,152492,26.4,-8461,-52.2,104,10.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,538.3333333333334,6.288477946988647,15.894256983106578,7.040536390215956,0,0
45999,5,313,75,0,2020,4,,19,28,29,29,832676,52390,906,2234,,3.8,0.62,0.62,0.61,1.03,0.41,0.7,1.68,,3,18.8,-5,-15.2,-3,-9.4,-2,-6.5,-40722,-4.7,31711,153.3,349,62.7,134,6.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,28.666666666666668,3.355735007585398,13.632399889903905,7.711548979629146,0,0
47000,5,313,55,0,2020,4,,74,3444,3500,3567,53917845,2573735,67044,1184,,1.68,1.7,1.71,1.72,2.17,1.27,3.28,1.27,,1,1.4,-90,-2.5,-16,-0.5,45,1.3,6101794,12.8,845436,48.9,20516,44.1,140,13.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,3503.6666666666665,8.161565318155244,17.802972057152427,7.076653815443951,0,0
47037,5,313,75,0,2020,4,,6,677,696,695,14380751,308637,990,1605,,0.91,2.06,2.09,2.06,2.93,1.0,0.3,1.42,,0,0.0,49,7.8,67,10.7,62,9.8,3038613,26.8,186743,153.2,-104,-9.5,220,15.9,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,689.3333333333334,6.53572494696021,16.481401134206415,7.380879035564116,0,0
47063,5,313,75,0,2020,4,,3,243,248,258,3401547,308556,11658,1048,,8.74,11.19,11.32,11.57,17.18,14.63,76.09,1.51,,0,0.0,37,18.0,50,25.3,61,31.0,441180,14.9,166070,116.6,8108,228.4,-89,-7.8,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,249.66666666666666,5.52012669484911,15.039740886105278,6.954638864880987,0,0
47093,5,313,75,0,2020,4,,4,46,46,48,675311,11266,18,1113,,1.17,0.29,0.28,0.29,0.35,0.08,0.01,1.22,,0,0.0,-4,-8.0,-5,-9.8,-4,-7.7,71018,11.8,1991,21.5,-15,-45.5,202,22.2,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,46.666666666666664,3.8430301339411947,13.422928604486984,7.014814351275545,0,0
47157,5,313,75,0,2020,4,,8,36,37,37,1120834,43451,534,2351,,1.46,0.11,0.11,0.11,0.24,0.13,0.17,2.2,,1,14.3,4,12.5,5,15.6,5,15.6,-116256,-9.4,19541,81.7,201,60.4,-623,-20.9,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,36.666666666666664,3.6018680771243066,13.929583609019485,7.762596048540069,0,0
47165,5,313,75,0,2020,4,,3,19,19,15,355539,4572,113,1548,,2.86,0.49,0.48,0.38,0.85,0.1,0.23,1.89,N,-1,-25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,17.666666666666668,2.8716796248840124,12.781390226849668,7.344719054149673,0,0
47999,5,313,75,0,2020,4,,7,25,25,72,1002847,37873,2272,1897,,2.4,0.59,0.57,1.61,1.3,0.57,2.04,1.39,,2,40.0,8,47.1,9,56.2,55,323.5,557078,125.0,28458,302.3,1774,356.2,-160,-7.8,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,40.666666666666664,3.7054087560651467,13.81835351293542,7.5480289699350145,0,0
48000,5,313,55,0,2020,4,,129,1740,1723,1726,22841550,1688379,27137,1016,,0.69,0.21,0.21,0.2,0.2,0.18,0.2,0.98,,2,1.6,-198,-10.2,-214,-11.0,-214,-11.0,-990031,-4.2,31507,1.9,-2529,-8.5,70,7.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1729.6666666666667,7.45568399069963,16.944091803847016,6.923628628138427,0,0
48029,5,313,75,0,2020,4,,10,127,128,133,1698854,108188,2802,1010,,0.9,0.22,0.22,0.23,0.24,0.17,0.36,1.08,,3,42.9,16,14.4,14,12.3,19,16.7,390191,29.8,15125,16.3,811,40.7,119,13.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,129.33333333333334,4.862393050955164,14.34546446405992,6.917705609835305,0,0
48113,5,313,75,0,2020,4,,16,146,145,137,1861692,215199,1405,1004,,0.78,0.13,0.12,0.12,0.1,0.15,0.06,0.81,N,-1,-5.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,142.66666666666666,4.9605109069136875,14.436996309602987,6.911747300251674,0,0
48121,5,313,75,0,2020,4,,5,35,35,34,424526,13552,203,942,,1.14,0.19,0.19,0.18,0.2,0.06,0.07,1.03,N,-1,-16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,34.666666666666664,3.545778610473263,12.958728531385605,6.848005274576363,0,0
48141,5,313,75,0,2020,4,,4,97,99,101,1021368,189367,7624,794,,1.0,0.47,0.48,0.48,0.53,0.87,2.75,1.11,,-1,-20.0,-32,-24.8,-30,-23.3,-31,-23.5,175698,20.8,-2604,-1.4,2734,55.9,294,58.8,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,99.0,4.59511985013459,13.836653463157221,6.677083461247136,0,0
48201,5,313,75,0,2020,4,,15,236,239,237,2209870,271157,3937,716,,0.49,0.16,0.16,0.15,0.09,0.17,0.15,0.6,,-1,-6.2,1,0.4,7,3.0,8,3.5,181953,9.0,-43864,-13.9,-3507,-47.1,44,6.5,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,237.33333333333334,5.469465622743866,14.608444248234353,6.573680166960646,0,0
48439,5,313,75,0,2020,4,,9,111,113,111,1496975,49843,1141,1031,,0.76,0.18,0.18,0.18,0.18,0.07,0.13,1.02,,0,0.0,-10,-8.3,-12,-9.6,-10,-8.3,88188,6.3,-58330,-53.9,-1131,-49.8,145,16.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,111.66666666666667,4.715518243156957,14.218956963195517,6.93828448401696,0,0
48453,5,313,75,0,2020,4,,8,39,36,40,369878,46325,184,742,,0.68,0.08,0.07,0.08,0.04,0.08,0.02,0.57,,1,14.3,-11,-22.0,-13,-26.5,-10,-20.0,-84874,-18.7,-39858,-46.2,-1844,-90.9,38,5.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,38.333333333333336,3.6463198396951406,12.820928500517878,6.60934924316738,0,0
49000,5,313,55,0,2020,4,,22,342,344,335,2803228,1756380,8165,634,,0.75,0.32,0.32,0.31,0.22,0.38,0.47,0.69,,-5,-18.5,-286,-45.5,-287,-45.5,-290,-46.4,-1599427,-36.3,-1236150,-41.3,-2921,-26.3,95,17.6,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,340.3333333333333,5.829925529496556,14.8462821682588,6.452048954437226,0,0
49049,5,313,75,0,2020,4,,5,62,60,63,706867,410000,1541,882,,1.02,0.35,0.33,0.34,0.32,0.51,0.59,0.96,,0,0.0,6,10.7,-4,-6.2,-1,-1.6,59140,9.1,-57318,-12.3,-733,-32.2,70,8.6,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,61.666666666666664,4.121743536410215,13.468597808370266,6.782192056006791,0,0
50000,5,313,55,0,2020,4,,10,117,123,121,1643783,173317,1179,1051,,1.5,0.59,0.63,0.61,0.71,0.62,0.26,1.16,,0,0.0,-39,-25.0,-33,-21.2,-36,-22.9,-304277,-15.6,12339,7.7,-2529,-68.2,92,9.6,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,120.33333333333333,4.790265669664771,14.312510850752318,6.957497370876951,0,0
51000,5,313,55,0,2020,4,,47,2985,2968,2987,33930661,1535515,18828,876,,0.66,1.16,1.14,1.14,0.93,0.66,0.84,0.81,,-1,-2.1,-318,-9.6,-299,-9.2,-270,-8.3,-474459,-1.4,32159,2.1,-12195,-39.3,68,8.4,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,2980.0,7.9996785794994505,17.339829617855653,6.775366090936392,0,0
53000,5,313,55,0,2020,4,,24,441,441,439,6187116,3494065,30446,1081,,0.32,0.2,0.2,0.2,0.17,0.27,0.29,0.85,,1,4.3,3,0.7,-1,-0.2,-13,-2.9,462486,8.1,77625,2.3,-3493,-10.3,89,9.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,440.3333333333333,6.087532015854215,15.637979623327183,6.985641817639208,0,0
53033,5,313,75,0,2020,4,,6,41,41,42,385262,302519,3465,717,,0.22,0.04,0.04,0.05,0.02,0.06,0.09,0.41,,0,0.0,0,0.0,-1,-2.4,-4,-8.7,-81681,-17.5,-4418,-1.4,-3503,-50.3,-118,-14.1,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,41.333333333333336,3.721669276936927,12.861678901302056,6.57507584059962,0,0
55000,5,313,55,0,2020,4,,27,1152,1154,1202,19799025,1192146,15182,1302,,0.59,0.61,0.61,0.63,0.88,0.47,0.42,1.43,,-1,-3.6,-143,-11.0,-151,-11.6,-92,-7.1,577330,3.0,129539,12.2,2342,18.2,163,14.3,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1169.3333333333333,7.064189064823964,16.801143252028073,7.171656822768514,0,0
55087,5,313,75,0,2020,4,,3,388,382,396,6394208,67975,424,1266,,2.13,5.47,5.37,5.48,7.71,0.71,0.29,1.42,,0,0.0,-19,-4.7,-27,-6.6,-15,-3.6,3359,0.1,-102389,-60.1,-1983,-82.4,64,5.3,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,388.6666666666667,5.9627220782423285,15.67090313857016,7.143617602704121,0,0
C1074,5,313,45,0,2020,4,,3,14,14,13,53032,32032,129,298,,0.47,0.06,0.06,0.05,0.02,0.05,0.03,0.34,N,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,13.666666666666666,2.614959778036198,10.878650783921227,5.697093486505405,0,0
C1154,5,313,45,0,2020,4,,3,388,382,396,6394208,67975,424,1266,,1.85,4.79,4.7,4.8,6.91,0.62,0.26,1.45,,0,0.0,-19,-4.7,-27,-6.6,-15,-3.6,3359,0.1,-102389,-60.1,-1983,-82.4,64,5.3,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,388.6666666666667,5.9627220782423285,15.67090313857016,7.143617602704121,0,0
C1206,5,313,45,0,2020,4,,65,2283,2324,2330,36613468,1650717,34225,1218,,1.48,1.3,1.31,1.29,1.48,0.7,1.18,1.14,,4,6.6,-577,-20.2,-541,-18.9,-548,-19.0,-5843400,-13.8,263854,19.0,4536,15.3,79,6.9,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,2312.3333333333335,7.746012394717192,17.41592670882632,7.1049654482698426,0,0
C1226,5,313,45,0,2020,4,,14,1785,1791,1814,24105705,2001217,38237,1032,,4.52,11.71,11.62,11.66,13.96,10.61,18.99,1.2,,0,0.0,-45,-2.5,-80,-4.3,-53,-2.8,2660760,12.4,664361,49.7,5388,16.4,143,16.1,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,1796.6666666666667,7.4936883752349335,16.997959092438354,6.939253946041508,0,0
C1258,5,313,45,0,2020,4,,9,104,87,110,1866995,83245,3091,1431,,0.5,0.12,0.1,0.13,0.14,0.11,0.24,1.25,,0,0.0,-28,-21.2,-42,-32.6,-4,-3.5,-41452,-2.2,6133,8.0,-656,-17.5,257,21.9,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,100.33333333333333,4.608497976080766,14.439840744427077,7.266128779556451,0,0
C1262,5,313,45,0,2020,4,,3,24,24,26,319135,17258,753,995,,2.56,0.52,0.52,0.56,0.66,0.34,0.89,1.24,,0,0.0,0,0.0,-1,-4.0,1,4.0,147789,86.3,7186,71.3,444,143.7,461,86.3,Textile Mills,control,Textile_Mill_2020_Q4.csv,2020-10-01,2020Q4,trump_era,1,24.666666666666668,3.20545280453606,12.673369489736343,6.902742737158593,0,0
